category,question,answer 
Jordan_Culture,What is Jordanian Dabke?,"A collective folk dance expressing joy and unity, performed at weddings and national events."
Jordan_Culture,What is Al-Mehbash?,"A wooden tool for grinding coffee manually. The rhythmic sound of grinding is a symbol of hospitality and inviting guests."
Jordan_Culture,What is the Rababa?,"An ancient Bedouin single-string musical instrument used to accompany Nabati poetry."
Jordan_Culture,What is the Jordanian Thob (Madruga)?,"The traditional dress for Jordanian women, with embroidery and colors varying by region (Salt, Karak, Ma'an)."
Jord!!!!!!@@an_Culture,What is the Jordanian Shemagh?,"The traditional red and white headscarf for men, symbolizing national identity and the Arab Army."
Jordan_Culture,What is 'Jaha'?,"A tribal custom for proposing marriage, where dignitaries from the groom's family officially ask for the bride's hand."
Jordan_Culture,What is 'Atwa'?,"A tribal security truce granted between conflicting parties until a problem is solved, part of tribal law."
Jordan_Culture,What is Bayt Al-Sha'er?,"The traditional Bedouin tent made of black goat hair, known for being water and heat resistant."
Jordan_Culture,What is Al-Samer?,"A Bedouin singing and dancing art performed by men in a row, relying on clapping and improvised poetry."
Jordan_Cultu#######re,Who is Arar?,"Mustafa Wahbi Al-Tal, Jordan's foremost poet, who praised the homeland's soil and the poor."
Jordan_Economy,What are Jordan's main natural resources?,"Phosphate, Potash (from the Dead Sea), and Oil Shale."
Jordan_Economy,What is the Jordanian Dinar pegged to?,"The JOD is pegged to the US Dollar at a fixed rate (1 JOD = 1.41 USD) since 1995."
Jordan_Economy,What is the Arab Potash Company?,"One of the world's largest producers of potash, with factories located at the Dead Sea."
Jordan_Economy,What is Aqaba Port?,"Jordan's only maritime outlet, handling the majority of the Kingdom's imports and exports."
Jordan_Economy,What is the Abdali Project?,"A massive real estate development in Amman, considered the 'New Downtown' of the capital."
Jordan_Economy,Medical Tourism in economy?,"Jordan is the #1 destination in the Middle East for medical tourism, generating significant revenue."
Jordan_Economy,What is King Hussein Business Park?,"A high-tech business complex in Amman hosting major global companies and startups."
Jordan_Economy,What is Oil Shale?,"Jordan possesses huge reserves of oil shale and gas, particularly in the Risha area."
Jordan_Economy,What is Royal Jordanian?,"The national flag carrier airline, established in 1963, nicknamed 'The Flying Ambassador of Jordan'."
Jordan_Food_More,What is Rashouf?,"A popular winter dish made of wheat groats, lentils, and Jameed, eaten hot."
Jordan_Food_More,What are Lazagiyat?,"A traditional dessert consisting of thin bread baked on a Saj, covered with ghee and sugar/honey."
Jordan_Food_More,What are Ca'akeel?,"A popular dish in northern Jordan consisting of dough balls cooked in yogurt or lentil soup."
Jordan_Food_More,What is Jordanian Harissa?,"A popular sweet made of semolina, ghee, and syrup, garnished with almonds, famous in downtown Amman."
Jordan_Food_More,What are Warbat?,"A famous Ramadan dessert consisting of pastry layers filled with fresh cream and syrup."
Jordan_Food_More,What is Tamarind drink?,"A popular drink sold by street vendors in traditional attire in old Amman streets."
Jordan_Food_More,What is Sajiyeh?,"A method of cooking meat in a large wok (Saj) over firewood, essential for outdoor picnics."
Jordan_Food_More,What is Jameed?,"Dried, salted goat yogurt in the form of stone-hard balls, the key ingredient for Mansaf."
Jordan_Food_More,What is Baladi Ghee?,"Animal fat made at home, added to food and sweets for a rich, distinctive flavor."
Jordan_Food_More,What is Baladi Za'atar?,"An essential breakfast mix of dried thyme, sesame, and sumac, eaten with olive oil."
Jordan_Cities,What is Fuheis famous for?,"A predominantly Christian city famous for the Fuheis Festival and Christmas celebrations."
Jordan_Cities,What is Mafraq famous for?,"It is the international transport hub connecting Jordan with Iraq and Syria, housing King Hussein Air Base."
Jordan_Cities,What is Ramtha famous for?,"Its border location, folk poetry, cross-border trade, and traditional wedding songs."
Jordan_Cities,What is the Jordan Valley (Ghor)?,"A low, warm area (Jordan's food basket) producing vegetables and fruits (especially bananas) year-round."
Jordan_Cities,What is Sahab?,"An industrial city east of Amman, housing the largest industrial estate and Islamic cemetery."
Jordan_Cities,What is Baqa'a Camp?,"The largest Palestinian refugee camp in Jordan, known for its very active commercial market."
Jordan_Cities,Where is Mutah University?,"Located in Karak Governorate, it has both a military wing and a civilian wing."
Jordan_Cities,What is Umm Qais?,"A city in the far north overlooking three countries (Jordan, Syria, Palestine) and the Sea of Galilee."
Jordan_Cities,What is the Downtown Souq (Hasba)?,"The oldest and largest market for fresh fruit and vegetables in downtown Amman."
Jordan_Cities,What is Wakalat Street?,"A pedestrian-only street in the Sweifieh area of Amman, featuring global brands."
Religious_Sites,What is Prophet Ayub Shrine?,"A religious shrine located in Salt, visited for blessings and prayer."
Religious_Sites,What is Prophet Yosha Shrine?,"Located in Salt on a high hill overlooking the Jordan Valley and Palestine."
Religious_Sites,Where is the Buqayawiya Tree?,"In the eastern desert; it is believed Prophet Muhammad rested under it during his journey to the Levant."
Religious_Sites,Who are the Mutah Companions?,"Shrines in Al-Mazar Al-Janoubi for the leaders of the Battle of Mutah: Ja'far, Abdullah, and Zaid."
Religious_Sites,What is Lady of the Mountain Church?,"A church in Anjara (Ajloun) recognized by the Vatican as a Christian pilgrimage site."
Religious_Sites,What is Mount Nebo religiously?,"Where Prophet Moses stood and saw the Holy Land; believed to be his burial place."
Religious_Sites,Where is the Cave of Jesus?,"In Iraq Al-Amir, it is believed Jesus Christ sought refuge there."
Religious_Sites,What is Al-Husseini Mosque?,"The oldest mosque in downtown Amman, built on the ruins of an ancient Umayyad mosque."
Religious_Sites,What is King Hussein Mosque?,"Currently the largest mosque in Jordan, located in Dabouq, known for its grandeur and high location."
Religious_Sites,What is the Byzantine Church in Petra?,"An ancient church discovered in Petra featuring amazingly preserved mosaic floors."
Modern_Life,What is Arbor Day?,"A national day on January 15th dedicated to planting trees across the Kingdom."
Modern_Life,What is the Global Village in Amman?,"A summer festival that used to showcase cultures and products from around the world."
Modern_Life,What is the Royal Tank Museum?,"A world-class military museum in Amman displaying hundreds of tanks and narrating military history."
Modern_Life,What is Abdali Boulevard?,"A modern pedestrian promenade surrounded by hotels and restaurants, hosting seasonal events."
Modern_Life,What is Sanad App?,"The official government app for digital services and digital identity in Jordan."
Modern_Life,What is 'Tamatem'?,"A Jordanian startup considered the leading mobile games publisher in the Arab world."
Modern_Life,What is King Hussein Cancer Center?,"One of the best cancer treatment centers in the Middle East, serving patients from the whole region."
Modern_Life,What is Amman Film Festival?,"An annual international festival supporting Jordanian and Arab filmmakers."
Modern_Life,What is the National Conservatory Orchestra?,"A professional Jordanian musical ensemble performing global and Arabic concerts."
Modern_Life,What are Rotana/Hala/Mazaj FM?,"Famous FM radio stations in Jordan that people listen to during morning drives."
Trivia,How many districts (Liwa) in Jordan?,"There are 51 districts distributed across the governorates."
Trivia,What is Jordan's Zip Code?,"Each area has a code, but downtown Amman is 11118."
Trivia,What is Jordan's calling code?,"+962"
Trivia,What is the tallest flagpole?,"Raghadan Flagpole (126m) was once the tallest in the world, carrying a massive flag."
Trivia,Does it snow in Jordan?,"Yes, especially in the highlands (Ajloun, Shobak, West Amman) for a few days in winter."
Trivia,What is the National Animal?,"The Arabian Oryx symbolizes wildlife in Jordan."
Trivia,What is Wadi Naml?,"A rocky valley in Petra featuring rock formations that look like ant hills."
Trivia,Who are the Circassians?,"A key part of Jordan's fabric, migrated from the Caucasus, playing a major role in founding Amman and the Royal Guard."
Trivia,What is the Friday Market (Souq al-Juma)?,"A huge popular market for second-hand clothes (Baleh) held in Al-Mahatta or Ras Al-Ain."
Trivia,What is 'Ya Hala'?,"The most famous Jordanian welcome phrase said to guests, meaning 'Welcome as family'."
Category,Question,Answer
Jordan_History,When was Jordan's Independence Day?,"Jordan gained full independence on May 25, 1946, which is the Kingdom's National Day."
Jordan_History,Who is the founding King of Jordan?,"King Abdullah I bin Al-Hussein is the founder of the Emirate of Transjordan and the Kingdom."
Jordan_History,Who wrote the Jordanian Constitution?,"King Talal bin Abdullah established the modern Jordanian Constitution in 1952, considered one of the most progressive."
Jordan_History,When was the Arabization of the Army command?,"King Hussein bin Talal Arabized the army command and dismissed Glubb Pasha on March 1, 1956."
Jordan_History,What is the Battle of Karameh?,"A battle in 1968 where the Jordanian Army defeated Israeli forces, shattering the myth of the invincible army."
Jordan_History,What is the Great Arab Revolt?,"A revolution launched in 1916 led by Sharif Hussein bin Ali against Ottoman rule, marking the foundation of the modern Jordanian state."
Jordan_History,What does the seven-pointed star in the flag mean?,"It symbolizes the seven verses of Al-Fatiha in the Quran, and the unity of Arab goals."
Jordan_History,What are the colors of the Jordanian flag?,"Black (Abbasids), White (Umayyads), Green (Fatimids), and Red (Hashemites)."
Jordan_History,When did King Abdullah II ascend the throne?,"His Majesty King Abdullah II assumed his constitutional powers on February 7, 1999."
Jordan_History,Who is the current Crown Prince of Jordan?,"His Royal Highness Crown Prince Al-Hussein bin Abdullah II."
Jordan_Symbols,What is the national flower of Jordan?,"The Black Iris, a rare flower that blooms in spring."
Jordan_Symbols,What is the national bird of Jordan?,"The Sinai Rosefinch, which is frequently found in Petra."
Jordan_Symbols,What is the official Coat of Arms?,"The Royal Hashemite Crown symbolizes the monarchy, and the red sash symbolizes sacrifice and purity."
Jordan_Nature,What33333333 is Shaumari Reserve?,"Jordan's first nature reserve, established to protect the Arabian Oryx from extinction."
Jordan_Nature,What is Azraq Wetland Reserve?,"A water oasis in the eastern desert serving as a vital stopover for migratory birds between Africa and Europe."
Jordan_Nature,What is King Talal Dam?,"The largest dam in Jordan located in Jerash, used for rainwater storage and irrigation."
Jordan_Nature,What is Wadi Hidan?,"A magical water canyon in Madaba featuring black basalt rocks and flowing water, a favorite for adventurers."
Jordan_Nature,What are Bergesh Forests?,"Dense forests located in Al-Koura (Irbid), famous for their oak trees and Al-Dhaher Cave."
Jordan_Nature,Where are hot springs other than Ma'in?,"There are North Shuna hot springs and Al-Himma hot springs in the Yarmouk Valley."
Jordan_Nature,What endangered animal lives in Dana?,"The Caracal (desert lynx) and the Nubian Ibex live in the rocky slopes of Dana."
Jordan_Archeology,What are the Ain Ghazal statues?,"The oldest plaster human statues discovered in the world, dating back to the Neolithic period (8000 BC), displayed in the Jordan Museum."
Jordan_Archeology,What is the Mesha Stele?,"An ancient stone where Moabite King Mesha inscribed his victories. It is the most important written document in the region's history."
Jordan_Archeology,What is Umm el-Jimal?,"Nicknamed 'The Black Oasis', a Nabataean-Byzantine city in Mafraq built entirely of black volcanic basalt."
Jordan_Archeology,What is Qasr Al-Kharana?,"An Umayyad desert castle unique for being built solely for defense purposes, containing no mosaics."
Jordan_Archeology,What is Qasr Al-Mushatta?,"An Umayyad palace near the airport. Its famous ornate facade was moved to the Pergamon Museum in Berlin."
Jordan_Archeology,What is Iraq Al-Amir?,"An area west of Amman containing Qasr Al-Abd and ancient caves, famous for its natural beauty."
Jordan_Archeology,What are the ruins of Pella (Tabaqat Fahl)?,"One of the Decapolis cities, known for being continuously inhabited from the Stone Age until today."
Jordan_Archeology,What is the Map Church?,"St. George's Church in Madaba, which contains the oldest mosaic map of the Holy Land."
Jordan_Archeology,What is the Nymphaeum?,"A Roman public fountain in downtown Amman used for water distribution and city decoration."
Jordan_Archeology,What is Shobak Castle (Montreal)?,"A Crusader castle built in a remote area, famous for a secret water tunnel descending deep into the mountain."
Jordan_Culture,What is Jordanian Dabke?,"A collective folk dance expressing joy and unity, performed at weddings and national events."
Jordan_Culture,What is Al-Mehbash?,"A wooden tool for grinding coffee manually. The rhythmic sound of grinding is a symbol of hospitality and inviting guests."
Jordan_Culture,What is the Rababa?,"An ancient Bedouin single-string musical instrument used to accompany Nabati poetry."
Jordan_Culture,What is the Jordanian Thob (Madruga)?,"The traditional dress for Jordanian women, with embroidery and colors varying by region (Salt, Karak, Ma'an)."
Jordan_Culture,What is the Jordanian Shemagh?,"The traditional red and white headscarf for men, symbolizing national identity and the Arab Army."
Jordan_Culture,What is 'Jaha'?,"A tribal custom for proposing marriage, where dignitaries from the groom's family officially ask for the bride's hand."
Jordan_Culture,What is 'Atwa'?,"A tribal security truce granted between conflicting parties until a problem is solved, part of tribal law."
Jordan_Culture,What is Bayt Al-Sha'er?,"The traditional Bedouin tent made of black goat hair, known for being water and heat resistant."
Jordan_Culture,What is Al-Samer?,"A Bedouin singing and dancing art performed by men in a row, relying on clapping and improvised poetry."
Jordan_Culture,Who is Arar?,"Mustafa Wahbi Al-Tal, Jordan's foremost poet, who praised the homeland's soil and the poor."
Jordan_Economy,What are Jordan's main natural resources?,"Phosphate, Potash (from the Dead Sea), and Oil Shale."
Jordan_Economy,What is the Jordanian Dinar pegged to?,"The JOD is pegged to the US Dollar at a fixed rate (1 JOD = 1.41 USD) since 1995."
Jordan_Economy,What is the Arab Potash Company?,"One of the world's largest producers of potash, with factories located at the Dead Sea."
Jordan_Economy,What is Aqaba Port?,"Jordan's only maritime outlet, handling the majority of the Kingdom's imports and exports."
Jordan_Economy,What is the Abdali Project?,"A massive real estate development in Amman, considered the 'New Downtown' of the capital."
Jordan_Economy,Medical Tourism in economy?,"Jordan is the #1 destination in the Middle East for medical tourism, generating significant revenue."
Jordan_Economy,What is Kin>>>>>>>.g Hussein Business Park?,"A high-tech business complex in Amman hosting major global companies and startups."
Jordan_Economy,What is Oil Shale?,"Jordan possesses huge reserves of oil shale and gas, particularly in the Risha area."
Jordan_Economy,What is Royal Jordanian?,"The national flag carrier airline, established in 1963, nicknamed 'The Flying Ambassador of Jordan'."
Jordan_Economy,What is King Hussein Business Park?,"A free zone and investment area in Amman attracting global technology companies."
Jordan_Food_More,What is Rashouf?,"A popular winter dish made of wheat groats, lentils, and Jameed, eaten hot."
Jordan_Food_More,What are Lazagiyat?,"A traditional dessert consisting of thin bread baked on a Saj, covered with ghee and sugar/honey."
Jordan_Food_More,What are Ca'akeel?,"A popular dish in northern Jordan consisting of dough balls cooked in yogurt or lentil soup."
Jordan_Food_More,What is Jordanian Harissa?,"A popular sweet made of semolina, ghee, and syrup, garnished with almonds, famous in downtown Amman."
Jordan_Food_More,What are Warbat?,"A famous Ramadan dessert consisting of pastry layers filled with fresh cream and syrup."
Jordan_Food_More,What is Tamarind drink?,"A popular drink sold by street vendors in traditional attire in old Amman streets."
Jordan_Food_More,What is Sajiyeh?,"A method of cooking meat in a large wok (Saj) over firewood, essential for outdoor picnics."
Jordan_Food_More,What is Jameed?,"Dried, salted goat yogurt in the form of stone-hard balls, the key ingredient for Mansaf."
Jordan_Food_More,What is Baladi Ghee?,"Animal fat made at home, added to food and sweets for a rich, distinctive flavor."
Jordan_Food_More,What is Baladi Za'atar?,"An essential breakfast mix of dried thyme, sesame, and sumac, eaten with olive oil."
Jordan_Cities,What is Fuheis famous for?,"A predominantly Christian city famous for the Fuheis Festival and Christmas celebrations."
Jordan_Cities,What is Mafraq famous for?,"It is the international transport hub connecting Jordan with Iraq and Syria, housing King Hussein Air Base."
Jordan_Cities,What is Ramtha famous for?,"Its border location, folk poetry, cross-border trade, and traditional wedding songs."
Jordan_Cities,What is the Jordan Valley (Ghor)?,"A low, warm area (Jordan's food basket) producing vegetables and fruits (especially bananas) year-round."
Jordan_Cities,What is Sahab?,"An industrial city east of Amman, housing the largest industrial estate and Islamic cemetery."
Jordan_Cities,What is Baqa'a Camp?,"The largest Palestinian refugee camp in Jordan, known for its very active commercial market."
Jordan_Cities,Where is Mutah University?,"Located in Karak Governorate, it has both a military wing and a civilian wing."
Jordan_Cities,What is Umm Qais?,"A city in the far north overlooking three countries (Jordan, Syria, Palestine) and the Sea of Galilee."
Jordan_Cities,What is the Downtown Souq (Hasba)?,"The oldest and largest market for fresh fruit and vegetables in downtown Amman."
Jordan_Cities,What is Wakalat Street?,"A pedestrian-only street in the Sweifieh area of Amman, featuring global brands."
Religious_Sites,What is Prophet Ayub Shrine?,"A religious shrine located in Salt, visited for blessings and prayer."
Religious_Sites,What is Prophet Yosha Shrine?,"Located in Salt on a high hill overlooking the Jordan Valley and Palestine."
Religious_Sites,Where is the Buqayawiya Tree?,"In the eastern desert; it is believed Prophet Muhammad rested under it during his journey to the Levant."
Religious_Sites,Who are the Mutah Companions?,"Shrines in Al-Mazar Al-Janoubi for the leaders of the Battle of Mutah: Ja'far, Abdullah, and Zaid."
Religiourrs_Sites,What is Lady of the Mountain Church?,"A church in Anjara (Ajloun) recognized by the Vatican as a Christian pilgrimage site."
Religious_Sites,What is Mount Nebo religiously?,"Where Prophet Moses stood and saw the Holy Land; believed to be his burial place."
Religious_Sites,Where is the Cave of Jesus?,"In Iraq Al-Amir, it is believed Jesus Christ sought refuge there."
Religious_rrrSites,What is Al-Husseini Mosque?,"The oldest mosque in downtown Amman, built on the ruins of an ancient Umayyad mosque."
Religious_Sites,What is King Hussein Mosque?,"Currently the largest mosque in Jordan, located in Dabouq, known for its grandeur and high location."
Religious_Sites,What is the Byzantine Church in Petra?,"An ancient church discovered in Petra featuring amazingly preserved mosaic floors."
Modern_Life,What is Arbor Day?,"A national day on January 15th dedicated to planting trees across the Kingdom."
Modern_Life,What is the Global Village in Amman?,"A summer festival that used to showcase cultures and products from around the world."
Modern_Life,What is the Royal Tank Museum?,"A world-class military museum in Amman displaying hundreds of tanks and narrating military history."
Modern_Life,What is Abdali Boulevard?,"A modern pedestrian promenade surrounded by hotels and restaurants, hosting seasonal events."
Modern_Life,What is Sanad App?,"The official government app for digital services and digital identity in Jordan."
Modern_Life,What is 'Tamatem'?,"A Jordanian startup considered the leading mobile games publisher in the Arab world."
Modern_Life,What is King Hussein Cancer Center?,"One of the best cancer treatment centers in the Middle East, serving patients from the whole region."
Modern_Life,What is Amman Film Festival?,"An annual international festival supporting Jordanian and Arab filmmakers."
Modern_Life,What is the National Conservatory Orchestra?,"A professional Jordanian musical ensemble performing global and Arabic concerts."
Modern_Life,What are Rotana/Hala/Mazaj FM?,"Famous FM radio stations in Jordan that people listen to during morning drives."
Trivia,How many districts (Liwa) in Jordan?,"There are 51 districts distributed across the governorates."
Trivia,What is Jordan's Zip Code?,"Each area has a code, but downtown Amman is 11118."
Trivia,What is Jordan's calling code?,"+962"rrrrrrrrrr3qrqaqgf
Trivia,What is the tallest flagpole?,"Raghadan Flagpole (126m) was once the tallest in the world, carrying a massive flag."
Trivia,Does it snow in Jordan?,"Yes, especially in the highlands (Ajloun, Shobak, West Amman) for a few days in winter."
Trivia,What is the National Animal?,"The Arabian Oryx symbolizes wildlife in Jordan."
Trivia,What is Wadi Naml?,"A rocky valley in Petra featuring rock formations that look like ant hills."
Trivia,Who are the Circassians?,"A key part of Jordan's fabric, migrated from the Caucasus, playing a major role in founding Amman and the Royal Guard."
Trivia,What is the Friday Market (Souq al-Juma)?,"A huge popular market for second-hand clothes (Baleh) held in Al-Mahatta or Ras Al-Ain."
Trivia,What is 'Ya Hala'?,"The most famous Jordanian welcome phrase said to guests, meaning 'Welcome as family'."