question,answer
متى تأسست الأردن؟,"تأسست المملكة الأردنية الهاشمية عام 1946."
أين تقع الأردن؟,"تقع الأردن في الشرق الأوسط بين السعودية والعراق وسوريا وفلسطين."
ما مساحة الأردن؟,"تبلغ مساحة الأردن حوالي 89,342 كيلومتر مربع."
كم عدد محافظات الأردن؟,"عدد محافظات الأردن 12 محافظة."
ما هي محافظات الأردن؟,"عمان، الزرقاء، إربد، البلقاء، مادبا، الكرك، الطفيلة، معان، العقبة، المفرق، جرش، عجلون."
ما مساحة محافظة عمان؟,"تبلغ مساحة محافظة عمان حوالي 7580 كم مربع."
ما معالم محافظة عمان؟,"من معالمها المدرج الروماني، جبل القلعة، المتحف الأردني، المسرح الروماني."
ما مساحة محافظة الزرقاء؟,"تبلغ مساحة محافظة الزرقاء حوالي 4080 كم مربع."
ما معالم محافظة الزرقاء؟,"من معالمها قصر شبيب ومدينة الأزرق القريبة منها."
ما مساحة محافظة إربد؟,"تبلغ مساحة محافظة إربد حوالي 1572 كم مربع."
ما معالم محافظة إربد؟,"من معالمها أم قيس، جامعة اليرموك، والمواقع الأثرية الرومانية."
ما مساحة محافظة البلقاء؟,"تبلغ مساحة محافظة البلقاء حوالي 1120 كم مربع."
ما معالم محافظة البلقاء؟,"من معالمها مدينة السلط التاريخية ومتحف السلط."
ما مساحة محافظة مادبا؟,"تبلغ مساحة محافظة مادبا حوالي 940 كم مربع."
ما معالم محافظة مادبا؟,"من معالمها خريطة مادبا الفسيفسائية وجبل نيبو."
ما مساحة محافظة الكرك؟,"تبلغ مساحة محافظة الكرك حوالي 3495 كم مربع."
ما معالم محافظة الكرك؟,"من معالمها قلعة الكرك التاريخية ومتحف الكرك."
ما مساحة محافظة الطفيلة؟,"تبلغ مساحة محافظة الطفيلة حوالي 2209 كم مربع."
ما معالم محافظة الطفيلة؟,"من معالمها حمامات عفرا وضانا الطبيعية."
ما مساحة محافظة معان؟,"تبلغ مساحة محافظة معان حوالي 33163 كم مربع."
ما معالم محافظة معان؟,"من معالمها البتراء ووادي رم."
ما مساحة محافظة العقبة؟,"تبلغ مساحة محافظة العقبة حوالي 690 كم مربع."
ما معالم محافظة العقبة؟,"من معالمها خليج العقبة، المنتجعات السياحية، والمدينة الإسلامية القديمة أيلة."
ما مساحة محافظة المفرق؟,"تبلغ مساحة محافظة المفرق حوالي 26551 كم مربع."
ما معالم محافظة المفرق؟,"من معالمها قصر عمرة الأثري."
ما مساحة محافظة جرش؟,"تبلغ مساحة محافظة جرش حوالي 402 كم مربع."
ما معالم محافظة جرش؟,"من معالمها مدينة جرش الأثرية الرومانية."
ما مساحة محافظة عجلون؟,"تبلغ مساحة محافظة عجلون حوالي 412 كم مربع."
ما معالم محافظة عجلون؟,"من معالمها قلعة عجلون ومحمية عجلون الطبيعية."
ما هي أكلة المنسف؟,"المنسف هو الطبق الوطني الأردني. المكونات: لحم الغنم أو الدجاج، الأرز، الجميد، بهارات، مكسرات. تاريخ الأكلة: يُعتقد أن المنسف موجود منذ أكثر من 500 سنة ويعكس التراث البدوي الأردني. فيديو التحضير: https://www.youtube.com/watch?v=qyeo2t025e8. أشهر المطاعم: مطعم القرية الأردنية (عمان)، مطعم نبع الأردن (عمان)، مطعم الطاسة (إربد)."
ما هي أكلة المقلوبة؟,"المقلوبة هي طبق أرز مع دجاج أو لحم وخضار (باذنجان، بطاطا). تاريخ الأكلة: المقلوبة متداولة منذ قرون في بلاد الشام الأردنية والفلسطينية. فيديو التحضير: https://www.youtube.com/watch?v=cTc_4yudLUs. أشهر المطاعم: مطعم أم علي (عمان)، مطعم المأكولات الشرقية (الزرقاء)."
ما هي أكلة الزرب؟,"الزرب طبق بدوي أصيل من لحم أو دجاج وخضار وبهارات يُطهى عادة تحت الأرض أو على نار هادئة. تاريخ الأكلة: معروف منذ أكثر من 200 سنة في جنوب الأردن. فيديو: https://www.youtube.com/watch?v=q6HGv6fNt3I. أشهر المطاعم: زرب النصار (عمان)، مطعم أصل الزرب (سحاب)."
ما هي الكنافة؟,"الكنافة هي حلوى شرقية محبوبة، المكونات: عجينة الكنافة، جبن أو قشطة، شيرة (شراب السكر)، فستق. تاريخ الأكلة: تعود أصولها إلى المطبخ الشامي منذ أكثر من 400 سنة. فيديو التحضير: https://www.youtube.com/watch?v=DB_buxtQLEc. أشهر حلويات: حلويات شامي (عمان)، حلويات الريحان (جرش)."
ما هي المكمورة؟,"المكمورة أكلة أردنية تقليدية تجمع دجاج أو لحم مع بصل وخضار وتُخبز بطريقة خاصة. تاريخ الأكلة: تراث شعبي موجود منذ أكثر من 150 سنة. فيديو: https://www.youtube.com/watch?v=ekkKSM577eI. أشهر المطاعم: مطعم البلد (الكرك)، مطعم الطاسة (إربد)."
ما هو المطبق؟,"المطبق هو عجين محشو باللحم أو الخضار ومطهو بطريقة مطوية. تاريخ الأكلة: المطبق متداول في جنوب الأردن منذ أكثر من 100 سنة. فيديو مرجعي: https://www.youtube.com/watch?v=sRLC07sSjQU. أشهر المطاعم: مطعم البادية الأردنية (معان)، مطعم الطاسة (إربد)."
ما هي الأكلات المشهورة في الأردن؟,"الأكلات المشهورة في الأردن تشمل: المنسف، المقلوبة، الزرب، الكنافة، والمطبق. هل تريد فيديو كيفية التحضير؟ أخبرني 😄"
ما هي الفعاليات المشهورة في الأردن؟,"الأماكن والفعاليات المشهورة في الأردن تشمل:
1. وادي رم – استكشاف الجبال الرملية الحمراء، ركوب الجمال، مشاهدة النجوم.
2. البحر الميت – السباحة في الماء الملحي، الطين العلاجي، الاسترخاء على الشواطئ.
3. البتراء – زيارة المدينة الوردية، المشي في السيق، تصوير المعالم الأثرية.
4. جرش – حضور المهرجانات الرومانية، مشاهدة المسرحيات والحفلات الموسيقية.
5. جبل نيبو – مشاهدة غروب الشمس، التصوير الفوتوغرافي، زيارة المعالم الدينية.
6. العقبة – الغوص والسنوركلينغ، رحلات القوارب، التزلج على الماء.
7. مادبا – مشاهدة الخرائط الفسيفسائية، جولات ثقافية، زيارة الكنائس القديمة.
8. عجلون – التنزه في المحميات الطبيعية، ركوب الدراجات الجبلية، مشاهدة الغابات.
9. الطفيلة – رحلات المغامرة، تسلق الجبال، زيارة المواقع التاريخية.
10. عمان – زيارة المدرج الروماني، التسوق، تجربة المطاعم والمقاهي
هل تفضل أن أعمل لك خطة فعاليات؟ 😄"
ما هي البتراء ؟,"البتراء (المدينة الوردية) هي عاصمة الأنباط العرب، نُحتت في الصخر منذ أكثر من 2000 عام. المعالم الرئيسية: السيق (مدخل المدينة بطول 1.2 كم)، الخزنة (أشهر معالمها)، المدرج النبطي، الدير، والمذبح. كانت مركزاً تجارياً عالمياً يربط الصين والهند بوسط أوروبا. فازت كواحدة من عجائب الدنيا السبع الجديدة عام 2007."
ماذا يوجد في مدينة جرش
÷هه الأثرية؟,"جرش (جراسا) هي العضو الأبرز في حلف المدن العشر (الديكابوليس). تتميز بالحفاظ على تفاصيلها المعمارية الرومانية. أهم معالمها: قوس هادريان (بوابة النصر)، ساحة الندوة البيضاوية الفريدة، شارع الأعمدة (الكاردو) الذي يمتد بطول 800 متر، مسرح الجنوب الذي يتمتع بنظام صوتي مذهل، ومعبد أرتميس.ن89"
حدثني عن جبل القلعة في عمان,"جبل القلعة هو أقدم بقعة مأهولة في عمان، ويضم آثاراً من العصور البرونزية والحديدية والرومانية والأموية. أهم المعالم: معبد هرقل الروماني (بأعمدته الضخمة)، القصر الأموي الذي يضم القبة الشهيرة، الكنيسة البيزنطية، ومتحف الآثار الأردني. يوفر الجبل إطلالة كاشفة لوسط مدينة عمان والمدرج الروماني."
ما هي أهمية مدينة مادبا الأثرية؟,"تُلقب مادبا بـ (مدينة الفسيفساء). أهم معالمها هي كنيسة القديس جورج التي تحتوي على 'خارطة مادبا'، وهي أقدم خارطة أصلية للأراضي المقدسة في العالم (القرن السادس الميلادي). كما تضم متنزه مادبا الأثري وكنيسة العذراء، وتشتهر بمدرسة الفسيفساء التي تدرّس هذا الفن العريق."
ما هو وادي رم تاريخياً؟,"وادي رم (وادي القمر) هو محمية طبيعية وتاريخية. تم استيطانه منذ عصور ما قبل التاريخ، وتوجد فيه نقوش ثمودية وصفوية ونبطية على الصخور (مثل جبل الخزعلي). اشتهر عالمياً من خلال فيلم 'لورنس العرب'. يتميز بجباله الغرانيتية الشاهقة ورماله الحمراء، وهو مدرج على قائمة التراث العالمي كوقع مختلط (طبيعي وثقافي)."
ما هي القصور الصحراوية وأين تقع؟,"هي مجموعة قصور بنيت في العصر الأموي (القرن الثامن) شرق الأردن. قصر عمرة: مشهور برسومات الفريسكو والفسيفساء ومدرج على قائمة اليونسكو. قصر الخرانة: يتميز بهندسته الدفاعية المتقنة. قصر المشتى: يشتهر بواجهته المزخرفة (التي نُقل جزء منها لمتحف برلين). كانت تستخدم كمحطات للقوافل أو مراكز للصيد والاستجمام."
ما هي قلعة عجلون؟,"بناها القائد عز الدين أسامة (أحد قادة صلاح الدين الأيوبي) عام 1184م لمراقبة تحركات الصليبيين وحماية طرق التجارة. تقع فوق جبل بني عوف وتوفر إطلالة مذهلة على غور الأردن وفلسطين. تتميز بخنادقها العميقة وأبراجها المنيعة."
ما هي محمية ضانا الطبيعية؟,"محمية ضانا هي أكبر محمية طبيعية في الأردن، تقع في وادي عربة جنوب غرب المملكة. تتميز بتنوعها البيولوجي الغني، حيث تضم أكثر من 800 نوع من النباتات وحوالي 215 نوعاً من الطيور. توفر المحمية فرصاً رائعة للمشي لمسافات طويلة، مشاهدة الطيور، والتعرف على الحياة البرية المحلية. كما تحتوي على قرى تاريخية مثل قرية ضانا التي تعكس التراث الثقافي للمنطقة."
ما هي مدينة العقبة السياحية؟,"العقبة هي المدينة الساحلية الوحيدة في الأردن على خليج العقبة. تشتهر بشواطئها الجميلة، المنتجعات الفاخرة، والأنشطة المائية مثل الغوص والسنوركلينغ. تضم مواقع تاريخية مثل المدينة الإسلامية القديمة أيلة، وأسواقاً تقليدية تقدم الحرف اليدوية المحلية والمأكولات البحرية الطازجة."
Category,Question,Answer
Education_System,ما هي مراحل التعليم في الأردن؟,"ينقسم التعليم في الأردن إلى مرحلتين رئيسيتين: مرحلة التعليم الأساسي الإلزامي (من الصف الأول حتى العاشر)، ومرحلة التعليم الثانوي (الصف الأول ثانوي والثاني ثانوي/التوجيهي) التي تتفرع إلى أكاديمي ومهني."
Education_System,هل التعليم مجاني في الأردن؟,"نعم، التعليم الحكومي في الأردن مجاني لجميع الطلاب الأردنيين في المدارس الحكومية من الصف الأول وحتى الثانوية العامة."
Tawjihi_General,ما هو امتحان التوجيهي؟,"التوجيهي هو امتحان الشهادة الثانوية العامة في الأردن، وهو الامتحان الوطني الذي يحدد مسار الطالب الجامعي وتخصصه بناءً على المعدل الذي يحصله."
Tawjihi_General,متى يعقد امتحان التوجيهي؟,"يعقد امتحان التوجيهي عادة في دورتين: الدورة الصيفية (الرئيسية) وتكون غالباً في شهر حزيران/يوليو، والدورة التكميلية (الشتوية) وتكون في شهر كانون الأول/يناير للطلاب الذين يرغبون برفع معدلهم أو استكمال متطلبات النجاح."
Tawjihi_Streams,ما هي فروع التوجيهي الأكاديمية؟,"الفروع الأكاديمية الرئيسية هي: الفرع العلمي (يؤهل لجميع التخصصات بما فيها الطب والهندسة)، والفرع الأدبي (يؤهل للتخصصات الإنسانية والاجتماعية واللغات)."
Tawjihi_Streams,ما هي فروع التوجيهي المهنية؟,"تشمل الفروع المهنية: الصناعي، الزراعي، الفندقي والسياحي، والاقتصاد المنزلي. هذه الفروع تؤهل الطالب لسوق العمل مباشرة أو لدخول الجامعات في تخصصات محددة."
Tawjihi_Streams,ما هو تخصص BTEC في المدارس الأردنية؟,"هو مسار التعليم المهني التقني الجديد المعتمد دولياً، يركز على التدريب العملي والمهارات التقنية بدلاً من الحفظ النظري، ويؤهل الطالب للجامعة أو سوق العمل بشهادات معتمدة عالمياً."
University_Admission,كيف يتم القبول في الجامعات الأردنية؟,"يتم القبول عبر وحدة القبول الموحد (Qabul Muwahad) للجامعات الحكومية، حيث يتنافس الطلاب بناءً على معدلات التوجيهي. كما يوجد نظام الموازي (على نفقة الطالب) والقبول المباشر في الجامعات الخاصة."
University_Admission,ما هو أقل معدل للقبول في الجامعات الحكومية؟,"يحدد مجلس التعليم العالي الحدود الدنيا، وعادة ما تكون: 85% للطب وطب الأسنان، 80% للهندسة والصيدلة، 65% لباقي التخصصات في الجامعات الحكومية، و60% في الجامعات الخاصة (هذه النسب قد تتغير سنوياً)."
Tawjihi_Calculation,كيف يتم احتساب معدل التوجيهي؟,"يتم احتساب المعدل بناءً على العلامات التي حصل عليها الطالب في المباحث المختلفة، حيث تختلف أوزان المواد حسب الفرع (علمي أو أدبي)، ويصدر المعدل بصيغة مئوية (مثلاً 95.4%)."
Culture_Education,ما هي طقوس إعلان نتائج التوجيهي في الأردن؟,"يعتبر يوم النتائج حدثاً وطنيًا في الأردن، حيث تعم الاحتفالات وتوزيع الحلويات (الكنافة) وإطلاق الألعاب النارية، وتستقبل العائلات المهنئين بنجاح أبنائهم."
Tawjihi_Curriculum,ما هي المواد المشتركة في التوجيهي؟,"المواد المشتركة لجميع الفروع عادة هي: اللغة العربية، اللغة الإنجليزية، التربية الإسلامية، وتاريخ الأردن."
Education_Development,هل يوجد تعليم دولي في الأردن؟,"نعم، بالإضافة للبرنامج الوطني، توفر العديد من المدارس الخاصة برامج دولية مثل IGCSE (البريطاني)، و IB (البكالوريا الدولية)، و SAT (الأمريكي)."
Universities,ما هي أشهر الجامعات في الأردن؟,"من أشهر الجامعات الحكومية: الجامعة الأردنية (بعمان)، جامعة اليرموك (باربد)، جامعة العلوم والتكنولوجيا (بالرمثا)، والجامعة الهاشمية (بالزرقاء)."
Study_Tips,كيف أدرس للتوجيهي بذكاء؟,"نصائح ذهبية: 1. تنظيم جدول دراسي واقعي. 2. حل أسئلة وزاريّة لسنوات سابقة (الدورات الماضية). 3. الابتعاد عن المشتتات. 4. الاعتماد على الكتاب المدرسي كمصدر أساسي."
Volunteer_Work,هل العمل التطوعي يفيد طالب التوجيهي؟,"نعم، حالياً تشترط وزارة التعليم العالي ومنحة (تيكة أم علي) وغيرها وجود ساعات خدمة مجتمعية لبعض المنح الدراسية، ويمكن الحصول عليها عبر منصة 'نحن' (Nahno)."
Category,Question,Answer
Tourism_Petra,ما هي البتراء؟,"البتراء هي المدينة الوردية المنحوتة في الصخر، عاصمة العرب الأنباط، وهي إحدى عجائب الدنيا السبع الجديدة ومن مواقع التراث العالمي لليونسكو."
Tourism_Petra,ما هو السيق؟,"السيق هو ممر صخري ضيق وطويل يمتد لحوالي 1.2 كم، وهو المدخل الرئيسي لمدينة البتراء القديمة، ينتهي بمشهد مدهش للخزنة."
Tourism_Petra,متى افضل وقت لتصوير الخزنة؟,"أفضل وقت لتصوير الخزنة هو ما بين الساعة 9 صباحاً و11 صباحاً عندما تسقط أشعة الشمس مباشرة على واجهتها، أو ليلاً خلال فعالية 'البتراء ليلاً' على ضوء الشموع."
Tourism_Wadi_Rum,لماذا يسمى وادي رم بوادي القمر؟,"يسمى وادي القمر لتضاريسه الصخرية الفريدة ورماله الحمراء التي تشبه سطح المريخ والقمر، وقد تم تصوير أفلام عالمية فيه مثل The Martian."
Tourism_Wadi_Rum,ما هو الزرب؟,"الزرب هو طريقة طبخ بدوية تقليدية في وادي رم، حيث يوضع اللحم والخضار في برميل ويدفن تحت الرمل الساخن والجمر لعدة ساعات حتى ينضج ببطء."
Tourism_Dead_Sea,ما الذي يميز البحر الميت؟,"البحر الميت هو أخفض نقطة على سطح الأرض (430 متر تحت سطح البحر)، ويتميز بمياهه شديدة الملوحة التي تجعل السباحة فيه مستحيلة الغرق (الطفو)، وطينه الغني بالمعادن العلاجية."
Tourism_Jerash,ماذا يوجد في مدينة جرش؟,"جرش هي واحدة من أفضل المدن الرومانية المحفوظة في العالم خارج إيطاليا، تشتهر بشارع الأعمدة، ساحة الندوة البيضاوية، ومسارحها التي يقام فيها مهرجان جرش للثقافة والفنون."
Tourism_Aqaba,ما هي النشاطات في العقبة؟,"العقبة هي المنفذ البحري الوحيد للأردن على البحر الأحمر، تشتهر برياضة الغوص لمشاهدة المرجان الملون، الرحلات البحرية، والمتحف العسكري الغارق (دبابات وطائرات تحت الماء)."
Tourism_Nature,ما هي محمية ضانا؟,"ضانا هي أكبر محمية طبيعية في الأردن، تتميز بتنوع حيوي هائل يجمع بين مناخات مختلفة من جبال خضراء إلى صحراء، وهي مثالية لمحبي المشي والتخييم البيئي."
Tourism_Nature,ما هو وادي الموجب؟,"وادي الموجب هو 'جراند كانيون' الأردن، وهو ممر مائي ضيق يمر بين جبال صخرية شاهقة ويصب في البحر الميت، ويعتبر وجهة مفضلة للمغامرة وتسلق الشلالات."
Tourism_Religious,ما هو المغطس؟,"المغطس هو موقع المعمودية على نهر الأردن، حيث تعمد السيد المسيح عليه السلام، وهو موقع حج مسيحي عالمي معترف به من اليونسكو والفاتيكان."
Tourism_Amman,ما هي أهم معالم عمان؟,"تجمع عمان بين العراقة والحداثة، ومن أهم معالمها: جبل القلعة (معبد هرقل)، المدرج الروماني وسط البلد، شارع الرينبو، ومسجد الملك عبدالله الأول."
Jordan_Food,ما هو المنسف؟,"المنسف هو الطبق الوطني للأردن، يتكون من لحم الضأن المطبوخ بـ 'الجميد' (لبن مجفف)، ويقدم فوق خبز الشراك والأرز، ويزين باللوز والصنوبر."
Jordan_Food,ما هي تقاليد تقديم القهوة العربية؟,"القهوة العربية رمز للكرم، تُصب باليد اليسرى وتُقدم باليمنى، ويُسكب كمية قليلة في قاع الفنجان. هز الفنجان يعني الاكتفاء، ورفعه يعني طلب المزيد."
Jordan_Logistics,ما هي التذكرة الموحدة (Jordan Pass)؟,"هي تذكرة توفر للسياح الدخول المجاني لأكثر من 40 موقع سياحي (بما فيها البتراء) وتعفيهم من رسوم تأشيرة الدخول إذا أقاموا في الأردن 3 ليالٍ متتالية على الأقل."
Jordan_Logistics,ما هي العملة المستخدمة في الأردن؟,"العملة الرسمية هي الدينار الأردني (JOD)، وهو مرتبط بالدولار الأمريكي (1 دينار = 1.41 دولار تقريباً)، وتنتشر مكاتب الصرافة والدفع بالبطاقات في المدن الرئيسية."
Jordan_Logistics,كيف أتنقل بين المحافظات؟,"يمكن التنقل باستخدام حافلات 'جت' (Jett) السياحية المريحة، أو استئجار سيارة، أو استخدام تطبيقات النقل الذكي داخل عمان، والتاكسي الأصفر."
Culture_Souvenirs,ما هي أشهر الهدايا التذكارية من الأردن؟,"يشتهر الأردن بمنتجات البحر الميت العلاجية، الفسيفساء من مأدبا، الكوفية (الشماغ) الأردني، والزجاج الملون بالرمل."
Generic_Safety,هل الأردن بلد آمن للسياح؟,"نعم، يعتبر الأردن من أكثر البلدان أماناً واستقراراً في الشرق الأوسط، والشعب الأردني معروف بحسن الضيافة ومساعدة الزوار."
Category,Question,Answer
Sports_National_Team,ما هو لقب المنتخب الوطني الأردني لكرة القدم؟,"يُلقب المنتخب الوطني بـ 'النشامى'، وهو لقب يعكس الشجاعة والنخوة الأردنية."
Sports_National_Team,ما هو أكبر إنجاز لمنتخب النشامى في كأس آسيا؟,"الوصول إلى المباراة النهائية في كأس آسيا 2023 التي أقيمت في قطر، وحصوله على المركز الثاني."
Sports_National_Team,من هو الهداف التاريخي للمنتخب الأردني؟,"الهداف التاريخي هو اللاعب حمزة الدردور."
Sports_National_Team,من هو أشهر لاعب أردني محترف في أوروبا حالياً؟,"موسى التعمري، المحترف في الدوري الفرنسي (نادي مونبلييه)، ويعتبر من أفضل اللاعبين في تاريخ الكرة الأردنية."
Sports_National_Team,من هو حارس المرمى الملقب بـ 'الحوت'؟,"عامر شفيع، وهو الحارس التاريخي للمنتخب الأردني وأكثر اللاعبين تمثيلاً للمنتخب دولياً."
Sports_National_Team,متى تأسس الاتحاد الأردني لكرة القدم؟,"تأسس الاتحاد الأردني لكرة القدم عام 1949."
Sports_National_Team,من هو المدرب الذي قاد الأردن لملحق كأس العالم 2014؟,"المدرب المصري الراحل محمود الجوهري وضع الأساس، والمدرب حسام حسن قاد الفريق في الملحق العالمي ضد الأوروغواي."
Sports_National_Team,ما هو لون الزي الرسمي لمنتخب النشامى؟,"الزي الأساسي هو اللون الأبيض (مع الشماغ الأحمر)، والزي الاحتياطي هو اللون الأحمر."
Sports_National_Team,ما هو شعار الاتحاد الأردني لكرة القدم؟,"يتكون الشعار من النجمة السباعية (رمز العلم الأردني) وكرة قدم."
Sports_Football_Clubs,ما هي قمة (ديربي) الكرة الأردنية؟,"هي المباراة التي تجمع بين القطبين: النادي الفيصلي ونادي الوحدات."
Sports_Football_Clubs,من هو 'الزعيم' في الكرة الأردنية؟,"لقب يطلق عادة على النادي الفيصلي نظراً لكثرة ألقابه المحلية والقارية."
Sports_Football_Clubs,من هو 'المارد الأخضر'؟,"هو لقب نادي الوحدات."
Sports_Football_Clubs,ما هو أول نادٍ أردني يفوز بلقب قاري (كأس الاتحاد الآسيوي)؟,"النادي الفيصلي هو أول من حقق اللقب مرتين متتاليتين (2005 و 2006)."
Sports_Football_Clubs,ما هو لقب نادي الرمثا؟,"يُلقب بـ 'غزلان الشمال'."
Sports_Football_Clubs,من هو بطل دوري المحترفين لموسم 2023/2024؟,"نادي الحسين إربد حقق اللقب لأول مرة في تاريخه في إنجاز تاريخي."
Sports_Football_Clubs,أين يقع ستاد عمان الدولي؟,"يقع في مدينة الحسين للشباب في العاصمة عمان، وهو الملعب الرئيسي للمنتخب."
Sports_Football_Clubs,ما هو ستاد الحسن؟,"هو ملعب كرة قدم رئيسي يقع في مدينة إربد (شمال الأردن)."
Sports_Football_Clubs,ما هو أقدم نادي في الأردن؟,"نادي الأردن (تأسس 1929) ولكنه لم يستمر، ويُعتبر النادي الفيصلي (تأسس 1932) من أعرق الأندية المستمرة."
Sports_Football_Clubs,كم عدد أندية دوري المحترفين الأردني؟,"يتكون الدوري عادة من 12 نادياً يتنافسون بنظام الذهاب والإياب."
Sports_Basketball,ما هو لقب المنتخب الوطني لكرة السلة؟,"يُلقب بـ 'صقور الأردن' (Jordan Falcons)."
Sports_Basketball,كم مرة تأهل الأردن لكأس العالم لكرة السلة؟,"تأهل الأردن لكأس العالم 3 مرات (2010 في تركيا، 2019 في الصين، 2023 في الفلبين)."
Sports_Basketball,من هو زيد عباس؟,"هو أسطورة كرة السلة الأردنية وأحد القادة التاريخيين لصقور الأردن."
Sports_Basketball,من هو المجنس الذي تألق مع صقور الأردن في 2023؟,"رونديه جيفرسون، الذي قدم أداءً مذهلاً شُبه بأداء كوبي براينت."
Sports_Basketball,ما هي أشهر أندية كرة السلة في الأردن؟,"النادي الأرثوذكسي والنادي الأهلي هما الأقطاب التقليدية لكرة السلة الأردنية."
Sports_Basketball,أين تقام مباريات كرة السلة عادة؟,"في صالة الأمير حمزة بمدينة الحسين للشباب."
Sports_Olympics,من حقق أول ميدالية ذهبية أولمبية للأردن؟,"البطل أحمد أبو غوش في رياضة التايكواندو (أولمبياد ريو 2016)."
Sports_Olympics,من حقق الميدالية الفضية في أولمبياد طوكيو 2020؟,"البطل صالح الشرباتي في رياضة التايكواندو."
Sports_Olympics,من حقق الميدالية البرونزية في الكراتيه في طوكيو؟,"البطل عبد الرحمن المصاطفة."
Sports_Olympics,ما هي الرياضة الفردية الأكثر نجاحاً في الأردن؟,"التايكواندو هي الرياضة الأنجح والأكثر تحقيقاً للميداليات العالمية والأولمبية للأردن."
Sports_Olympics,من هو زيد كريم؟,"بطل أردني واعد في التايكواندو حقق الميدالية الفضية في أولمبياد باريس 2024."
Sports_Individual,ما هي عائلة 'عشيش' الرياضية؟,"عائلة رياضية اشتهرت في الملاكمة، أبرزهم حسين وزياد عشيش الذين حققوا إنجازات آسيوية وعالمية."
Sports_Individual,هل يوجد جمباز في الأردن؟,"نعم، واللاعب أحمد أبو السعود يعتبر بطلاً عالمياً وحقق ميداليات في بطولات العالم على جهاز حصان المقابض."
Sports_Individual,ما هي انجازات ذوي الاحتياجات الخاصة (البارالمبية)؟,"الأردن متميز جداً بارالمبياً، خاصة في رفع الأثقال (معتز الجنيدي، عمر قرادة) وكرة الطاولة (مها البرغوثي)."
Sports_Individual,من هي مها البرغوثي؟,"أسطورة الرياضة البارالمبية الأردنية، توجت بذهبية سيدني 2000 في كرة الطاولة، وأول رياضية أردنية تحقق ذهبية أولمبية/بارالمبية."
Sports_Motorsport,ما هو رالي الأردن؟,"هو سباق سيارات دولي، كان جزءاً من بطولة العالم للراليات (WRC)، ويقام في منطقة البحر الميت لتضاريسها الفريدة."
