question,answer
Sports_Motorsport,من هم أشهر سائقي الراليات في الأردن؟,"الملك الراحل الحسين بن طلال كان عاشقاً للرياضة، والأمير فيصل بن الحسين، والمتسابق أمجد فراح."
Sports_Marathon,ما هو ألتراماراثون البحر الميت؟,"هو سباق جري سنوي يُعرف بأنه 'أخفض ماراثون في العالم'، حيث ينتهي عند شاطئ البحر الميت."
Sports_Women,هل استضاف الأردن بطولات عالمية للسيدات؟,"نعم، استضاف الأردن كأس العالم للسيدات تحت 17 سنة في عام 2016، في إنجاز تنظيمي كبير."
Sports_Women,ما هو نادي عمان للسيدات؟,"نادي كرة قدم نسوي أردني، حقق لقب بطولة الأندية الآسيوية للسيدات (لقب قاري) في إنجاز غير مسبوق."
Sports_Women,من هي جوليانا الصادق؟,"بطلة تايكواندو أردنية، وهي أول عربية تتصدر التصنيف العالمي للتايكواندو في وزنها."
Sports_Facilities,ما هي مدينة الحسين للشباب؟,"هي أكبر مجمع رياضي في الأردن، تضم ملاعب وصالات ومسابح، وتقع في قلب عمان."
Sports_Facilities,ما هو ستاد الملك عبد الله الثاني؟,"يقع في منطقة القويسمة بعمان، ويعتبر المعقل الرئيسي لجماهير نادي الوحدات."
Sports_Facilities,هل يوجد حلبة سباق سيارات في الأردن؟,"نعم، حلبة منجا الدولية (Manja) وحلبة سوفكس."
Sports_General,ما هي اللجنة الأولمبية الأردنية؟,"هي الهيئة المسؤولة عن الرياضة التنافسية في الأردن، ويرأسها الأمير فيصل بن الحسين."
Sports_General,ما هي مبادرة 'قصي'؟,"مبادرة ملكية تهدف لتطوير أداء المعالجين الرياضيين وسلامة اللاعبين في الملاعب."
Sports_General,ما هو الجوجيتسو في الأردن؟,"رياضة قتالية تشهد انتشاراً واسعاً، والأردن يحقق فيها ميداليات آسيوية وعالمية باستمرار."
Sports_General,ما هي رياضة الكيك بوكسينغ في الأردن؟,"من الرياضات القتالية الشعبية جداً، وللأردن تاريخ طويل من الأبطال فيها مثل عدي أبو حصوة."
Sports_General,هل يمارس الأردنيون رياضة التسلق؟,"نعم، خاصة في وادي رم، الذي يعتبر وجهة عالمية للمتسلقين."
Sports_General,ما هي رياضة الرجبي في الأردن؟,"رياضة صاعدة، ولدينا منتخب وطني (النشامى والنشميات) يشارك في البطولات الآسيوية."
Sports_General,هل يوجد رياضة مبارزة في الأردن؟,"نعم، والاتحاد الأردني للمبارزة نشيط ويحقق لاعبوه ميداليات في البطولات العربية."
Sports_Local,ما هي 'الحارات' في كرة القدم؟,"هي كرة القدم الشعبية التي تلعب في الشوارع، وكانت المنطلق للعديد من نجوم الكرة الأردنية."
Sports_Local,ما هي بطولة الدرع؟,"هي بطولة تنشيطية لأندية المحترفين تقام قبل بداية الدوري."
Sports_Local,ما هي بطولة كأس الكؤوس؟,"مباراة تجمع بين بطل الدوري وبطل الكأس لافتتاح الموسم الكروي."
Sports_Local,من هو اللاعب الملقب بـ 'بيكا'؟,"هو لقب اللاعب مهند أبو طه، موهبة شابة صاعدة."
Sports_Local,من هو 'البيكاسو'؟,"لقب اللاعب رأفت علي، أسطورة نادي الوحدات."
Sports_Local,من هو 'حسونة'؟,"حسونة الشيخ، أسطورة وقائد النادي الفيصلي السابق."
Sports_History,متى شارك الأردن لأول مرة في الأولمبياد؟,"شارك الأردن لأول مرة في أولمبياد موسكو عام 1980."
Sports_History,ما هي الدورة العربية التي استضافها الأردن؟,"استضاف الأردن دورة الألعاب العربية عام 1999 (دورة الحسين) وكانت حدثاً كبيراً."
Sports_Adventure,ما هو مسار الأردن (Jordan Trail)؟,"هو مسار مشي طويل يمتد من أم قيس شمالاً إلى العقبة جنوباً، ويمر بأجمل تضاريس الأردن، ويقصده الرياضيون للمغامرة."
Sports_Culture,كيف يحتفل الأردنيون بفوز المنتخب؟,"تخرج المواكب بالسيارات في الشوارع، تُرفع الأعلام، وتُعزف الأغاني الوطنية مثل 'يا بيرقنا العالي'."
Category,Question,Answer
Tourism_Amman,ما هي أفضل أماكن المشي في عمان؟,"شارع الرينبو، منطقة البوليفارد (العبدلي)، ووسط البلد القديم."
Tourism_Amman,ماذا يوجد في متحف السيارات الملكي؟,"يحتوي على مجموعة نادرة من سيارات ملوك الأردن منذ تأسيس الإمارة، ويروي تاريخ الأردن من خلال السيارات."
Tourism_Amman,ما هو المدرج الروماني في عمان؟,"مسرح أثري يقع في وسط البلد، يتسع لـ 6000 متفرج، وكان يستخدم للاحتفالات في العهد الروماني."
Tourism_Amman,أين يقع متحف الأردن؟,"يقع في منطقة رأس العين، وهو أكبر متحف في الأردن ويضم مخطوطات البحر الميت وتماثيل عين غزال."
Tourism_Amman,ما هو جبل القلعة؟,"أعلى تلة في عمان القديمة، يضم معبد هرقل، القصر الأموي، ومتحف الآثار، ويطل على مشهد بانورامي لعمان."
Tourism_Amman,ما هو قصر العبد؟,"قصر أثري هلنستي نادر يقع في منطقة عراق الأمير غرب عمان."
Tourism_Amman,أين أجد أفضل كنافة في عمان؟,"تشتهر منطقة وسط البلد بمحلات الكنافة العريقة مثل حبيبة، وهي تجربة لا تفوت لأي زائر."
Tourism_Amman,ما هو سوق جارا؟,"سوق موسمي للحرف اليدوية والفنون يقام في شارع الرينبو كل يوم جمعة خلال فصل الصيف."
Tourism_Amman,ما هي منطقة اللويبده؟,"جبل ثقافي في عمان يشتهر بالمقاهي الهادئة، المراكز الفنية (مثل دارة الفنون)، وجداريات الشوارع."
Tourism_Amman,ما هو مسجد الملك عبد الله الأول؟,"يُعرف بالمسجد الأزرق، يقع في العبدلي ويتميز بقبته الفسيفسائية الزرقاء ويسمح للسياح بزيارته."
Tourism_Jerash,متى يقام مهرجان جرش؟,"يقام عادة في فصل الصيف (شهر 7 أو 8) ويستمر لعدة أيام ويضم حفلات غنائية وثقافية عالمية."
Tourism_Jerash,ما هو قوس هادريان؟,"هو بوابة ضخمة تقع في مدخل مدينة جرش الأثرية، بنيت تكريماً لزيارة الامبراطور هادريان."
Tourism_Jerash,ما هي ساحة الندوة في جرش؟,"ساحة بيضاوية الشكل فريدة من نوعها محاطة بالأعمدة، وتعتبر أيقونة المدينة الأثرية."
Tourism_Jerash,كم تبعد جرش عن عمان؟,"تبعد حوالي 48 كم شمال عمان، وتستغرق الرحلة حوالي 45 دقيقة بالسيارة."
Tourism_Jerash,هل يوجد مطاعم في جرش؟,"نعم، يوجد مطعم البيت اللبناني ومطعم أرتيمس داخل الموقع، والعديد من الاستراحات على الطريق."
Tourism_Ajloun,ما هي قلعة عجلون؟,"قلعة إسلامية بناها عز الدين أسامة (أحد قادة صلاح الدين) عام 1184م لحماية المنطقة من الصليبيين."
Tourism_Ajloun,ما هي محمية غابات عجلون؟,"محمية طبيعية تشتهر بغابات البلوط الكثيفة، وتوفر أكواخاً خشبية للمبيت وسط الطبيعة."
Tourism_Ajloun,ما هو تلفريك عجلون؟,"مشروع سياحي جديد يأخذك في رحلة هوائية فوق غابات عجلون وصولاً إلى منطقة القلعة."
Tourism_Ajloun,ما هو مسار راسون؟,"مسار مشي سياحي في قرى عجلون يمر بالأودية والينابيع والآثار القديمة."
Tourism_Ajloun,ما هي صناعة الصابون في عجلون؟,"تشتهر عجلون ببيت الصابون في المحمية، حيث يصنع الصابون يدوياً من زيت الزيتون والأعشاب الطبيعية."
Tourism_Irbid,ما هي مدينة أم قيس؟,"مدينة أثرية (جدارا) تقع شمال الأردن، تشتهر بآثارها السوداء (حجر البازلت) وإطلالتها الساحرة على بحيرة طبريا."
Tourism_Irbid,ما هو متحف دار السرايا؟,"متحف يقع في وسط إربد، كان قلعة عثمانية وسجناً قديماً ثم تحول لمتحف يعرض تاريخ المدينة."
Tourism_Irbid,ما هي طبقة فحل؟,"موقع أثري (بيلا) في الأغوار الشمالية، يشتهر بآثاره الرومانية وطبيعته الخضراء في الربيع."
Tourism_Irbid,أين يقع وادي الريان؟,"يقع في منطقة جديتا بباربد، ويتميز بالشلالات والطواحين القديمة وأشجار الرمان."
Tourism_Irbid,بماذا تشتهر إربد؟,"تلقب بعروس الشمال، وتشتهر بتربتها الخصبة، جامعاتها (اليرموك والتكنو)، وأكلة المكمورة."
Tourism_Salt,ما هو شارع الحمام في السلط؟,"شارع تراثي قديم في وسط السلط، يشتهر بمحلات العطارة والأسواق الشعبية والعمارة الحجرية الصفراء."
Tourism_Salt,لماذا أدرجت السلط على قائمة التراث العالمي؟,"بسبب طابعها المعماري الفريد ونظام التكافل الاجتماعي (المضافة) الذي يمثل العيش المشترك."
Tourism_Salt,ما هو متحف السلط التاريخي (بيت أبو جابر)؟,"قصر تراثي قديم تحول لمتحف يعرض تاريخ السلط التجاري والاجتماعي في أواخر العهد العثماني."
Tourism_Salt,ما هو مطل الستين؟,"شارع يقع في مرتفعات السلط ويوفر إطلالة بانورامية خلابة على جبال الضفة الغربية وفلسطين."
Tourism_Salt,ما هي كنيسة الخضر؟,"كنيسة تاريخية في السلط يزورها المسلمون والمسيحيون للتبرك، وتمثل رمزاً للتعايش الديني."
Tourism_Madaba,بماذا تشتهر مادبا؟,"تلقب بمدينة الفسيفساء، وتشتهر بوجود أكبر عدد من لوحات الفسيفساء البيزنطية في العالم."
Tourism_Madaba,ما هي خارطة مادبا؟,"أقدم خارطة فسيفسائية للأراضي المقدسة، توجد في أرضية كنيسة القديس جورج."
Tourism_Madaba,ما هو جبل نيبو؟,"الموقع الذي رأى منه النبي موسى أرض الميعاد وتوفي فيه، ويضم كنيسة أثرية وإطلالة على البحر الميت."
Tourism_Madaba,ما هي قلعة مكاور؟,"قلعة تاريخية تطل على البحر الميت، ويعتقد أن النبي يحيى (يوحنا المعمدان) سجن وقطع رأسه فيها."
Tourism_Madaba,ما هو وادي الهيدان؟,"وادي مغامرات مائي قرب مادبا، يعتبر من أجمل أماكن المسير المائي في الأردن."
Tourism_DeadSea,ما هو بانوراما البحر الميت؟,"متحف ومطعم يقع على حافة جرف جبلي يطل على البحر الميت، ويوفر أجمل مشهد لغروب الشمس."
Tourism_DeadSea,هل يوجد فنادق في البحر الميت؟,"نعم، توجد منطقة فنادق عالمية (5 نجوم) توفر شواطئ خاصة وعلاجات بالطين والملح."
Tourism_DeadSea,ما هي حمامات ماعين؟,"شلالات مياه معدنية حارة طبيعية تقع قرب البحر الميت، تستخدم للاستجمام والعلاج الطبيعي."
Tourism_DeadSea,ما هو شاطئ عمان السياحي؟,"شاطئ عام مجهز يتيح للزوار السباحة واستخدام المرافق بسعر تذكرة معقول مقارنة بالفنادق."
Tourism_DeadSea,ما هو الممشى البحري (Samarah Mall)؟,"مركز تجاري وممشى يضم مطاعم ومقاهي مطلة على البحر الميت."
Tourism_Karak,ما هي قلعة الكرك؟,"واحدة من أكبر القلاع الصليبية في المنطقة، تتميز بممراتها السرية وقاعاتها الضخمة تحت الأرض."
Tourism_Karak,ما هو مقام النبي نوح؟,"يوجد ضريح ينسب للنبي نوح في مدينة الكرك، وهو مزار ديني."
Tourism_Karak,بماذا تشتهر الكرك غذائياً؟,"تشتهر بأنها عاصمة 'الجميد الكركي' الأفضل لصنع المنسف الأردني."
Tourism_Karak,ما هو وادي بن حماد؟,"وادي استوائي ساحر في الكرك يتميز بالمياه الجارية والنخيل والحدائق المعلقة."
Tourism_Tafilah,ما هي قرية ضانا التراثية؟,"قرية حجرية قديمة تقع على حافة الوادي، تم ترميمها لتصبح مركزاً سياحياً ونزلاً بيئياً."
Tourism_Tafilah,ما هو نزل فينان؟,"نزل بيئي يعمل بالطاقة الشمسية بالكامل ويضاء بالشموع ليلاً، يقع في قلب وادي عربة."
Tourism_Tafilah,ما هي قلعة الشوبك؟,"قلعة صليبية (مونتريال) تقع على جبل معزول، وتشتهر بآبارها المائية ونفقها السري الطويل."
Tourism_Tafilah,ما هي حمامات عفرا؟,"ينابيع مياه حارة في الطفيلة يقصدها الناس للعلاج والاستشفاء."
Tourism_Ma'an,أين تقع البتراء الصغيرة؟,"تقع في منطقة البيضا (قرب البتراء)، وهي موقع نبطي أصغر حجماً وكان محطة للقوافل التجارية."
Tourism_Ma'an,كم سعر تذكرة البتراء؟,"لغير الأردني 50 دينار (ليوم واحد)، وللأردني دينار واحد فقط."
Tourism_Ma'an,ما هو دير البتراء؟,"أضخم مبنى في البتراء، يتطلب صعود 800 درجة صخرية للوصول إليه، ويوفر إطلالات مذهلة."
Tourism_Ma'an,ما هي المذبح في البتراء؟,"موقع ديني في قمة الجبل كان يستخدمه الأنباط لتقديم القرابين، ويوفر إطلالة على كامل المدينة."
Tourism_Wadi_Rum,ما هي رحلات الجيب في وادي رم؟,"جولات بسيارات الدفع الرباعي (بك أب) يقودها بدو محليون لاستكشاف الصحراء والجسور الصخرية."
Tourism_Wadi_Rum,ما هي المخيمات الفاخرة (Bubble Tents)؟,"خيم كروية شفافة في وادي رم تتيح لك النوم تحت النجوم مع توفر تكييف وخدمات فندقية."
Tourism_Wadi_Rum,ما هو جسر البردة؟,"أعلى جسر صخري طبيعي في وادي رم، يتطلب تسلقاً للوصول إليه ويعتبر تحدياً للمغامرين."
Tourism_Wadi_Rum,ما هو قطار الثورة العربية الكبرى؟,"قطار تاريخي يمكن للسياح ركوبه لتمثيل مشهد الهجوم على القطار كما حدث عام 1916."
Tourism_Wadi_Rum,أين صورت أفلام هوليوود في الأردن؟,"معظمها صور في وادي رم، مثل أفلام (لورنس العرب، المريخي، حرب النجوم، علاء الدين)."
Tourism_Aqaba,ما هي قلعة العقبة؟,"قلعة مملوكية تاريخية تقع قرب الشاطئ، لعبت دوراً في انتصار الثورة العربية الكبرى."
Tourism_Aqaba,ما هو الشاطئ الجنوبي؟,"الشاطئ الأفضل للسباحة والغوص في العقبة، ويضم منطقة المتنزه البحري والمرجان."
Tourism_Aqaba,ما هي سرايا العقبة؟,"مشروع سياحي ضخم يضم بحيرة شاطئية وفنادق ومراكز تسوق وألعاب مائية."
Tourism_Aqaba,ما هي أكلة الصيادية؟,"الأكلة الشعبية في العقبة، تتكون من أرز وسمك طازج وتوابل خاصة."
Tourism_Aqaba,هل يوجد مطار في العقبة؟,"نعم، مطار الملك حسين الدولي، ويستقبل رحلات دولية منخفضة التكاليف."
Tourism_Azraq,ما هي قلعة الأزرق؟,"قلعة صحرائية سوداء (بازلتية) اتخذها لورنس العرب مقراً له خلال الشتاء."
Tourism_Azraq,ما هي محمية الأزرق المائية؟,"واحة مائية نادرة في الصحراء الشرقية، وتعتبر محطة استراحة للطيور المهاجرة."
Tourism_Eastern_Desert,ما هي قصور الصحراء؟,"مجموعة من القصور الأموية في البادية الشرقية أهمها: قصر الحرانة، وقصر عمرة."
Tourism_Eastern_Desert,بماذا يتميز قصر عمرة؟,"يتميز برسوماته الجدارية (الفريسكو) النادرة التي تصور الصيد والحياة والحكام، وهو موقع تراث عالمي."
Tourism_Eastern_Desert,ما هي شجرة البقيعاوية؟,"شجرة بطم معمرة في الصحراء الشرقية يعتقد أن النبي محمد (ص) استظل تحتها في رحلته للشام."
Adventure_Tourism,ما هو مسار الأردن (Jordan Trail)؟,"مسار مشي طويل (650 كم) يقطع الأردن من أم قيس شمالاً إلى العقبة جنوباً، ويحتاج 40 يوماً لإكماله."
Adventure_Tourism,ما هو وادي الحسا؟,"أطول وادي مائي في الأردن، يمتد لمسافات طويلة ويعتبر وجهة مفضلة للمشي النهري (Canyoning)."
Adventure_Tourism,ما هو الانزال الجبلي (Abseiling)؟,"رياضة النزول بالحبال من الشلالات والمقاطع الصخرية، وتمارس بكثرة في وادي الموجب."
Adventure_Tourism,أين يمكنني ركوب الخيل؟,"في البتراء، وفي نوادي الفروسية بعمان، وفي إسطبلات خاصة في مادبا."
Medical_Tourism,لماذا يأتي السياح للعلاج في الأردن؟,"لوجود أطباء ومستشفيات بمواصفات عالمية وأسعار منافسة، خاصة في علاج القلب والعقم والعيون."
Medical_Tourism,ما هي فوائد طين البحر الميت؟,"يعالج الأمراض الجلدية مثل الصدفية والأكزيما، ويخفف آلام المفاصل والروماتيزم."
Religious_Tourism,ما هي مقامات الصحابة؟,"مزارات دينية في الأغوار والكرك تضم أضرحة قادة معركة مؤتة (جعفر الطيار، زيد بن حارثة، عبدالله بن رواحة)."
Religious_Tourism,ما هو كهف أهل الكهف؟,"موقع أثري في منطقة الرجيب بعمان، يعتقد أنه الكهف المذكور في القرآن الكريم."
Religious_Tourism,ما هو مقام النبي شعيب؟,"يقع في وادي شعيب قرب السلط، وهو مزار ديني يطل على مناظر طبيعية جميلة."
Religious_Tourism,ما هو جبل هارون؟,"جبل مرتفع في البتراء يوجد في قمته ضريح ينسب للنبي هارون (أخو موسى)."
Logistics,ما هو أفضل وقت لزيارة الأردن؟,"فصلي الربيع (مارس-مايو) والخريف (سبتمبر-نوفمبر) حيث يكون الطقس معتدلاً ومناسباً لكل النشاطات."
Logistics,هل أحتاج فيزا لدخول الأردن؟,"معظم الجنسيات تحتاج فيزا، ويمكن شراؤها عند الوصول للمطار أو دمجها مع التذكرة الموحدة (Jordan Pass)."
Logistics,كيف أستخدم الانترنت في الأردن؟,"يمكن شراء شريحة جوال سياحية (Zain, Orange, Umniah) من المطار بأسعار رخيصة وتغطية ممتازة."
Logistics,هل الماء في الصنبور صالح للشرب؟,"لا ينصح بشرب ماء الصنبور مباشرة، ويفضل شراء المياه المعبأة المتوفرة في كل مكان."
Logistics,ما هي ملابس السباحة المقبولة؟,"في الفنادق والشواطئ الخاصة (البكيني) مقبول، أما في الشواطئ العامة والوديان يفضل ارتداء ملابس ساترة (تيشيرت وشورت)."
Logistics,هل البقشيش إلزامي؟,"ليس إلزامياً ولكنه متوقع ومقدر، عادة 10% في المطاعم، ومبلغ بسيط للسائقين والمرشدين."
Logistics,ما هو خط المطار؟,"باصات ترددية تنقل المسافرين من مطار الملكة علياء إلى محطة الشمال (طبربور) في عمان والعكس."
Logistics,هل تعمل تطبيقات التوصيل في الأردن؟,"نعم، تطبيقات (Uber, Careem, Jeeny) تعمل بكفاءة عالية في عمان والمدن الكبرى."
Logistics,ما هي كهرباء الأردن؟,"الجهد الكهربائي 220 فولت، والمقابس عادة تكون ثنائية (أوروبية) أو ثلاثية (بريطانية)."
Logistics,أين أصرف العملة؟,"محلات الصرافة في وسط البلد والمولات تعطي أسعاراً أفضل من الفنادق والمطار."
Food_Tourism,ما هي الفلافل الأردنية؟,"أقراص مقلية من الحمص المطحون، وتعتبر الإفطار الشعبي الأول، وساندويش الفلافل وجبة رخيصة ولذيذة."
Food_Tourism,ما هو الزيت وزعتر؟,"فطور تقليدي يتكون من خبز يغمس بزيت الزيتون ثم بالزعتر والسمسم، مشهور جداً في بلاد الشام."
Food_Tourism,ما هي قلاية البندورة؟,"أكلة تراثية تطبخ في المقلاة، تتكون من طماطم، ثوم، فلفل حار، وزيت زيتون، وتؤكل بالخبز."
Food_Tourism,أين يمكنني تجربة أكل الشارع؟,"شارع الرينبو، وسط البلد، وشارع الجامعة في إربد مليء بأكشاك الطعام."
Shopping,ماذا أشتري من وسط البلد؟,"البهارات، الحلويات، التحف الشرقية، والأزياء التراثية."
Shopping,هل يوجد مولات كبيرة في عمان؟,"نعم، سيتي مول، تاج مول، العبدلي مول، ومكة مول تضم ماركات عالمية وسينمات."
Traditions,كيف أحيي الناس في الأردن؟,"التحية الشائعة هي 'السلام عليكم' أو 'مرحبا'، والمصافحة باليد."
Traditions,هل التدخين مسموح؟,"التدخين والأرجيلة منتشران جداً في الأردن، ولكن يمنع في الأماكن الحكومية والمستشفيات."
Eco_Tourism,ما هي نزل فينان البيئي؟,"نزل يقع في وادي عربة، مصنف كواحد من أفضل النزل البيئية في العالم، مثالي لمراقبة النجوم."
Eco_Tourism,ما هي جمعية الأردن للمشي (Jordan Hiking)?,"مجموعات تنظم رحلات مشي أسبوعية لاستكشاف الطبيعة والوديان."
Trivia,ما هو أدنى مكان على الأرض؟,"شواطئ البحر الميت في الأردن هي النقطة الأكثر انخفاضاً على اليابسة."
Category,Question,Answer
Jordan_History,متى كان استقلال الأردن؟,"استقل الأردن تماماً في 25 أيار (مايو) عام 1946، وهو يوم العيد الوطني للمملكة."
Jordan_History,من هو الملك المؤسس للأردن؟,"الملك عبد الله الأول بن الحسين هو المؤسس لإمارة شرق الأردن والمملكة."
Jordan_History,من هو واضع الدستور الأردني؟,"الملك طلال بن عبد الله هو من وضع الدستور الأردني الحديث عام 1952، والذي يعتبر من أكثر الدساتير تطوراً."
Jordan_History,متى تعريب قيادة الجيش العربي؟,"قام الملك الحسين بن طلال بتعريب قيادة الجيش وطرد كلوب باشا في 1 آذار 1956."
Jordan_History,ما هي معركة الكرامة؟,"معركة حدثت عام 1968 انتصر فيها الجيش الأردني على القوات الإسرائيلية وحطم أسطورة الجيش الذي لا يقهر."
Jordan_History,ما هي الثورة العربية الكبرى؟,"ثورة انطلقت عام 1916 بقيادة الشريف الحسين بن علي ضد الحكم العثماني، وهي أساس نشأة الدولة الأردنية الحديثة."
Jordan_History,ماذا تعني النجمة السباعية في العلم الأردني؟,"ترمز إلى السبع المثاني (سورة الفاتحة) في القرآن الكريم، وتدل أيضاً على هدف الثورة العربية الكبرى (الوحدة، الحرية، إلخ)."
Jordan_History,ما هي ألوان العلم الأردني؟,"الأسود (راية العباسيين)، الأبيض (راية الأمويين)، الأخضر (راية الفاطميين)، والأحمر (راية الهاشميين)."
Jordan_History,متى تولى الملك عبد الله الثاني سلطاته الدستورية؟,"تولى جلالة الملك عبد الله الثاني الحكم في 7 شباط 1999."
Jordan_History,من هو ولي العهد الحالي للأردن؟,"سمو الأمير الحسين بن عبد الله الثاني."
Jordan_Symbols,ما هي الزهرة الوطنية للأردن؟,"زهرة السوسنة السوداء (Black Iris)، وهي زهرة نادرة تنبت في الربيع."
Jordan_Symbols,ما هو الطائر الوطني للأردن؟,"العصفور الوردي السينائي (Sinai Rosefinch) الذي يتواجد بكثرة في البتراء."
Jordan_Symbols,ما هو الشعار الرسمي للمملكة (التاج)؟,"التاج الملكي الهاشمي يرمز للملكية، والوشاح الأحمر يرمز للفداء والصفاء."
Jordan_Nature,ما هي محمية الشوماري؟,"أول محمية طبيعية في الأردن، تأسست لحماية المها العربي (Oryx) من الانقراض."
Jordan_Nature,ما هي محمية الأزرق المائية؟,"واحة مائية في الصحراء الشرقية تعتبر محطة استراحة حيوية للطيور المهاجرة بين أفريقيا وأوروبا."
Jordan_Nature,ما هو سد الملك طلال؟,"أكبر سد في الأردن يقع في جرش، يستخدم لتخزين مياه الأمطار والري."
Jordan_Nature,ما هو وادي الهيدان؟,"وادي مائي ساحر في مادبا يتميز بالصخور البازلتية السوداء والمياه الجارية، وجهة مفضلة للمغامرين."
Jordan_Nature,ما هي غابات برقش؟,"غابات كثيفة تقع في لواء الكورة (إربد)، تشتهر بتنوع الأشجار وكهف الظهر."
Jordan_Nature,أين تقع الينابيع الحارة غير ماعين وعفرا؟,"توجد حمامات الشونة الشمالية وحمامات الرمة في وادي اليرموك."
Jordan_Nature,ما هو الحيوان البري المهدد الذي يعيش في ضانا؟,"الوشق (القط البري) والماعز الجبلي (النيبي) يعيشان في منحدرات ضانا الصخرية."
Jordan_Archeology,ما هي تماثيل عين غزال؟,"أقدم تماثيل بشرية جصية اكتشفت في العالم، تعود للعصر الحجري الحديث (8000 سنة قبل الميلاد)، معروضة في متحف الأردن."
Jordan_Archeology,ما هي مسلة ميشع؟,"حجر أثري كتب عليه الملك المؤابي ميشع انتصاراته، وتعتبر أهم وثيقة مكتوبة في تاريخ المنطقة (الأصل في اللوفر)."
Jordan_Archeology,ما هي مدينة أم الجمال؟,"تلقب بـ 'الواحة السوداء'، مدينة أثرية نبطية بيزنطية في المفرق مبنية بالكامل من الحجر البركاني الأسود."
Jordan_Archeology,ما هو قصر الحرانة؟,"قصر صحراوي أموي يتميز بأنه القصر الوحيد الذي بني لغايات دفاعية بحتة ولا يحتوي على فسيفساء."
Jordan_Archeology,ما هو قصر المشتى؟,"قصر أموي قرب مطار الملكة علياء، نقلت واجهته المزخرفة الشهيرة إلى متحف برلين في ألمانيا."
Jordan_Archeology,ما هي عراق الأمير؟,"منطقة غرب عمان تضم قصر العبد وكهوفاً أثرية، وتشتهر بجمال طبيعتها."
Jordan_Archeology,ما هي آثار طبقة فحل (بيلا)؟,"إحدى مدن الديكابوليس، تشتهر بأنها مأهولة بالسكان بشكل مستمر منذ العصور الحجرية حتى اليوم."
Jordan_Archeology,ما هي كنيسة الخارطة؟,"كنيسة القديس جورج في مادبا التي تحتوي على أقدم خارطة فسيفسائية للأراضي المقدسة."
Jordan_Archeology,ما هو سبيل الحوريات؟,"مبنى روماني عام في وسط البلد بعمان كان يستخدم لتوزيع المياه وتزيين المدينة."
Jordan_Archeology,ما هي قلعة الشوبك (مونتريال)؟,"قلعة بناها الصليبيون في منطقة نائية، وتشتهر بوجود نفق مائي سري ينزل لعمق الجبل."
Jordan_Culture,ما هي الدبكة الأردنية؟,"رقصة فلوكلورية جماعية تشابكية، تعبر عن الفرح والوحدة، وتؤدى في الأعراس والمناسبات الوطنية."
Jordan_Culture,ما هو المهباش؟,"أداة خشبية لطحن القهوة يدوياً، ولصوت الطحن فيها إيقاع موسيقي يعتبر رمزاً للكرم ودعوة الضيوف."
